SPECIAL EVENTS CALENDAR 2017,,,,,,,,
,,,,,,,,
UPDATED 28 February 2017,,,,,,,,
,,,,,,,,Buses booked
Day,Date,Type,Event,Kick off,Vehicle Requirement,Tacho,Comments,out by
,,,,,,,,
Thurs,120117,Football,QPR,2000,RTL 31 x DD 5 x SD,No,F40 and F41,Control
Thurs,120117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Thurs,120117,Southern Rail Repl,Redhill area,,DD High Speed,No,Duty 9730 501A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,DD High Speed,No,Duty 9731 502A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9732 511A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 512A 1225 - 0020 30 minute break to be arranged,Night Chargehand
Fri,130117,Marketing & PR,CALM event,,1114,No,To be cleaned and parked in East yard 1200 - 1400,Night Chargehand
Fri,130117,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9650 (0508 - 1008) (see work ticket),Night Chargehand
,,Vodafone Shuttle,Bracknell - Vodafone,,generic SD or DD,No,Duty 9651 (1513 - 2012) (see work ticket),Night Chargehand
Fri,130117,Southern Rail Repl,Redhill area,,DD High Speed,No,Duty 9730 501A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,DD High Speed,No,Duty 9731 502A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9732 511A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 512A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,SD High Back Seats,No,Duty 9734 503A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9735 513A 1225 - 0020 30 minute break to be arranged,Night Chargehand
Sat,140117,Marketing & PR,Royal Blue Launch,,703,No,Duty 9760 0830 - 1745 Joe Wood,Night Chargehand
Sat,140117,Southern Rail Repl,Redhill area,,DD High Speed,No,Duty 9730 501A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,CANCELLED,,,Ferry Vehicle,No,Duty 9732 511A 1225 - 0020 30 minute break to be arranged,Night Chargehand
,,,,,DD High Speed,No,Duty 9731 502A 0425 - 1620 30 minute break to be arranged,Night Chargehand
,,,,,Ferry Vehicle,No,Duty 9733 512A 1225 - 0020 30 minute break to be arranged,Night Chargehand
Sun,150117,GWR Rail Repl,Reading and Newbury,,SD High Back Seats,No,Duty 9730 69A 0723 - 1000,Night Chargehand
Sun,150117,SWR Rail Repl,Barnes -,,DD High Speed,No,Duty 9731 484A 0640 - 1713 Break 1212 - 1310,Night Chargehand
,,,Teddington/Hounslow,,,,Non-Driving Time 1/08,
,,,,,DD High Speed,No,Duty 9732 484B 1448 - 0303 Breaks 1712-1810 & 2212-2302,Night Chargehand
,,,,,,,Non-Driving Time 1/01,
Sun,150117,Private Hire,Kidz Klub,,2 x DD (524/525/526/860),No,KC1 Duty 9760 0730 - 1349 and KC3 Duty 9762 0745 - 1333,Night Chargehand
