"","routeNo","nClaims","rank","cumPctRoutes","pctClaims","cumPctClaims"
"1","0017",89,1,0.00444444444444444,0.084280303030303,0.084280303030303
"2","0000",58,2,0.00888888888888889,0.0549242424242424,0.139204545454545
"3","0003",55,3,0.0133333333333333,0.0520833333333333,0.191287878787879
"4","0004",35,4,0.0177777777777778,0.0331439393939394,0.224431818181818
"5","0021",34,5,0.0222222222222222,0.0321969696969697,0.256628787878788
"6","0026",33,6,0.0266666666666667,0.03125,0.287878787878788
"7","0005",32,7,0.0311111111111111,0.0303030303030303,0.318181818181818
"8","0006",32,8,0.0355555555555556,0.0303030303030303,0.348484848484849
"9","0033",30,9,0.04,0.0284090909090909,0.376893939393939
"10","0001",28,10,0.0444444444444444,0.0265151515151515,0.403409090909091
"11","0024",28,11,0.0488888888888889,0.0265151515151515,0.429924242424242
"12","019A",28,12,0.0533333333333333,0.0265151515151515,0.456439393939394
"13","0016",22,13,0.0577777777777778,0.0208333333333333,0.477272727272727
"14","019C",22,14,0.0622222222222222,0.0208333333333333,0.498106060606061
"15","0002",21,15,0.0666666666666667,0.0198863636363636,0.517992424242424
"16","0015",21,16,0.0711111111111111,0.0198863636363636,0.537878787878788
"17","0009",20,17,0.0755555555555556,0.0189393939393939,0.556818181818182
"18","0022",19,18,0.08,0.0179924242424242,0.574810606060606
"19","0013",18,19,0.0844444444444444,0.0170454545454545,0.591856060606061
"20","00X4",17,20,0.0888888888888889,0.0160984848484848,0.607954545454545
"21","019B",17,21,0.0933333333333333,0.0160984848484848,0.62405303030303
"22","00V1",15,22,0.0977777777777778,0.0142045454545455,0.638257575757576
"23","0023",14,23,0.102222222222222,0.0132575757575758,0.651515151515151
"24","0025",14,24,0.106666666666667,0.0132575757575758,0.664772727272727
"25","0014",12,25,0.111111111111111,0.0113636363636364,0.676136363636364
"26","0011",11,26,0.115555555555556,0.0104166666666667,0.68655303030303
"27","0029",11,27,0.12,0.0104166666666667,0.696969696969697
"28","033A",10,28,0.124444444444444,0.00946969696969697,0.706439393939394
"29","0053",9,29,0.128888888888889,0.00852272727272727,0.714962121212121
"30","021A",8,30,0.133333333333333,0.00757575757575758,0.722537878787879
"31","0082",6,31,0.137777777777778,0.00568181818181818,0.728219696969697
"32","0500",6,32,0.142222222222222,0.00568181818181818,0.733901515151515
"33","RAIL",6,33,0.146666666666667,0.00568181818181818,0.739583333333333
"34","0010",5,34,0.151111111111111,0.00473484848484848,0.744318181818182
"35","0027",5,35,0.155555555555556,0.00473484848484848,0.74905303030303
"36","006A",5,36,0.16,0.00473484848484848,0.753787878787879
"37","050A",5,37,0.164444444444444,0.00473484848484848,0.758522727272727
"38","060X",5,38,0.168888888888889,0.00473484848484848,0.763257575757576
"39","00K6",4,39,0.173333333333333,0.00378787878787879,0.767045454545455
"40","015A",4,40,0.177777777777778,0.00378787878787879,0.770833333333333
"41","060A",4,41,0.182222222222222,0.00378787878787879,0.774621212121212
"42","",3,42,0.186666666666667,0.00284090909090909,0.777462121212121
"43","0007",3,43,0.191111111111111,0.00284090909090909,0.78030303030303
"44","0008",3,44,0.195555555555556,0.00284090909090909,0.783143939393939
"45","002A",3,45,0.2,0.00284090909090909,0.785984848484849
"46","0060",3,46,0.204444444444444,0.00284090909090909,0.788825757575758
"47","0090",3,47,0.208888888888889,0.00284090909090909,0.791666666666667
"48","00F1",3,48,0.213333333333333,0.00284090909090909,0.794507575757576
"49","00x4",3,49,0.217777777777778,0.00284090909090909,0.797348484848485
